Experiment #,m/z,Compound,MT_sec,FPhe_RMT,Drug Class,pKa,logP,Van der Waals volume
1,141.1435,Amphetamine-d5,944.7,0.796207332,Internal Standard,10.01,1.8,144.86
1,172.1332,Gabapentin,1018.32,0.858255373,Other,9.91,-1.27,176.16
1,177.1022,Cotinine,967.56,0.815474083,Other,4.79,0.21,165.31
1,178.1226,Mephedrone,1000.38,0.843135272,Amphetamine,8.05,2.12,181.62
1,184.0768,F-Phe,1186.5,1,Internal Standard,9.45,-1.04,160.46
1,194.1176,MDMA,995.4,0.838938053,Amphetamine,10.14,1.86,185.76
1,208.0968,Methylone,1010.34,0.851529709,Amphetamine,7.96,1.23,188.09
1,208.1332,MDEA,1034.22,0.871656131,Amphetamine,10.22,2.22,202.74
1,222.1852,Tapentadol,1076.04,0.906902655,Opioid,9.6,2.96,240.11
1,224.0837,Norketamine,1033.26,0.870847029,Anesthetic,7.27,2.91,201.26
1,233.1648,Norfentanyl,1060.08,0.893451327,Opioid,10.03,1.42,234.04
1,234.1489,Methylphenidate,1063.08,0.895979772,Stimulant,9.09,2.25,230.61
1,234.1489,Normeperidine,1040.22,0.876713021,Anesthetic,9.33,2.07,231.03
1,238.0993,Ketamine,1038.24,0.875044248,Anesthetic,7.16,3.35,218.93
1,248.1645,Meperidine,1054.14,0.888445006,Anesthetic,8.16,2.46,248.67
1,256.1696,Diphenhydramine,1069.08,0.901036662,Other,8.87,3.65,260.13
1,264.1747,Nortriptyline,1090.98,0.919494311,Antidepressants,10.47,4.43,265.01
1,264.1958,Tramadol,1105.86,0.932035398,Opioid,9.23,2.45,272.29
1,267.1856,Desipramine,1086.96,0.916106195,Antidepressants,10.02,3.9,268
1,271.0633,Nordiazepam,1114.86,0.939620733,Sedative,2.85,3.21,225.42
1,276.1594,MDPV,1099.92,0.927029077,Stimulant,7.31,2.99,262.5
1,278.1903,Amitriptyline,1094.94,0.922831858,Antidepressants,9.76,4.81,282.76
1,278.1903,EDDP,1070.04,0.901845765,Opioid,9.64,4.63,282.49
